Leg,Time,Player,ThrowScore,RemainingScore
1,476.0,Player 1,98,403
1,476.5,Player 1,2,401
1,484.5,Player 2,55,446
1,485.0,Player 2,1,445
1,492.0,Player 1,121,280
1,492.5,Player 1,2,278
1,501.0,Player 2,27,418
1,501.5,Player 2,15,403
1,509.0,Player 1,76,202
1,518.0,Player 2,52,351
1,518.5,Player 2,4,347
1,523.5,Player 1,144,58
1,532.0,Player 2,100,247
1,541.5,Player 1,10,48
1,548.5,Player 2,44,203
1,571.0,Player 2,100,401
2,578.5,Player 1,60,441
2,587.0,Player 2,79,322
2,587.5,Player 2,1,321
2,594.0,Player 1,40,401
2,594.5,Player 1,2,399
2,602.0,Player 2,41,280
2,608.0,Player 1,79,320
2,608.5,Player 1,21,299
2,619.5,Player 2,34,246
2,620.0,Player 2,6,240
2,625.5,Player 1,90,209
2,626.5,Player 1,48,161
2,627.0,Player 1,2,159
2,633.0,Player 2,100,140
2,640.0,Player 1,117,42
2,647.5,Player 2,80,60
2,656.5,Player 1,1,41
2,675.5,Player 2,38,22
2,676.0,Player 2,6,16
2,683.5,Player 1,13,28
2,706.0,Player 1,8,20
3,733.5,Player 1,80,421
3,734.0,Player 1,1,420
3,741.0,Player 2,176,325
3,741.5,Player 2,4,321
3,749.0,Player 1,60,360
3,756.0,Player 2,56,265
3,756.5,Player 2,4,261
3,764.0,Player 1,4,356
3,764.5,Player 1,18,338
3,771.5,Player 2,100,161
3,780.0,Player 1,23,315
3,780.5,Player 1,18,297
3,787.5,Player 2,97,64
3,797.0,Player 1,67,230
3,797.5,Player 1,1,229
3,808.0,Player 2,7,57
3,810.0,Player 2,17,40
3,818.5,Player 1,29,200
3,820.5,Player 1,96,104
3,821.5,Player 2,17,23
3,845.0,Player 2,94,407
3,845.5,Player 2,2,405
3,850.5,Player 1,45,59
4,852.5,Player 1,58,443
4,853.0,Player 1,1,442
4,859.5,Player 2,58,347
4,867.0,Player 1,57,385
4,867.5,Player 1,3,382
4,873.5,Player 2,57,290
4,874.0,Player 2,1,289
4,879.5,Player 1,25,357
4,880.0,Player 1,75,282
4,896.0,Player 2,60,229
4,905.5,Player 1,44,238
4,911.5,Player 2,140,89
4,917.5,Player 1,178,60
4,925.5,Player 2,32,57
4,928.0,Player 2,25,32
4,931.5,Player 1,50,10
4,945.5,Player 2,10,22
