capture_id,video_id,sport_event_id,video_time_s,frame_path,review_status,matched_throw_event_id,mapped_capture_time_utc,roi_present,valid_face,detector_confidence,player_name,segment_label,wedge_number_label,coarse_wedge_area_label,resulting_score,is_bust,entered_modeling,candidate_throw_event_ids,resolution_reason,gaze_error
1857,1,sr:sport_event:66098028,3210.993148,/Users/morgandaniel/Documents/mlp/mlp-coursework3/data/captures/capture-f180369d9c6c4c52bd9c72a78f446398.png,verified,2231844792,2026-01-02T22:22:25.993148Z,False,True,1.0,"van Veen, Gian",S14,14,OTHER,14,False,True,,,
1856,1,sr:sport_event:66098028,3199.720041,/Users/morgandaniel/Documents/mlp/mlp-coursework3/data/captures/capture-398d35c579914a7a9d7ad1e0f95b7a2e.png,verified,2231844702,2026-01-02T22:22:14.720041Z,False,True,1.0,"Anderson, Gary",T15,15,OTHER,45,False,True,,,
1855,1,sr:sport_event:66098028,3197.61204,/Users/morgandaniel/Documents/mlp/mlp-coursework3/data/captures/capture-10236d70c59446618ab2361a0480cd38.png,verified,2231844680,2026-01-02T22:22:12.612040Z,False,True,1.0,"Anderson, Gary",T20,20,20,60,False,True,,,
1854,1,sr:sport_event:66098028,3195.136195,/Users/morgandaniel/Documents/mlp/mlp-coursework3/data/captures/capture-d7edf8c41ae74d18b2a099a44bc3003d.png,verified,2231844662,2026-01-02T22:22:10.136195Z,False,True,1.0,"Anderson, Gary",T20,20,20,60,False,True,,,
1853,1,sr:sport_event:66098028,3189.529478,/Users/morgandaniel/Documents/mlp/mlp-coursework3/data/captures/capture-7c0f1ccc519e4f04a2df1984e4581776.png,verified,2231844612,2026-01-02T22:22:04.529478Z,False,True,1.0,"van Veen, Gian",S50,BULL,BULL,50,False,True,,,
1852,1,sr:sport_event:66098028,3186.747879,/Users/morgandaniel/Documents/mlp/mlp-coursework3/data/captures/capture-16631e6c51c541ae9cb0fd076a03371b.png,verified,2231844594,2026-01-02T22:22:01.747879Z,False,True,1.0,"van Veen, Gian",S20,20,20,20,False,True,,,
1851,1,sr:sport_event:66098028,3172.728111,/Users/morgandaniel/Documents/mlp/mlp-coursework3/data/captures/capture-301a859cae9044eeb15b6fdf4dd5f006.png,verified,2231844530,2026-01-02T22:21:47.728111Z,False,True,1.0,"Anderson, Gary",T7,7,19,21,False,True,,,
1850,1,sr:sport_event:66098028,3170.511876,/Users/morgandaniel/Documents/mlp/mlp-coursework3/data/captures/capture-b4c3576158a942a5bfd29341c3beacda.png,verified,2231844520,2026-01-02T22:21:45.511876Z,False,True,1.0,"Anderson, Gary",S20,20,20,20,False,True,,,
1849,1,sr:sport_event:66098028,3168.134806,/Users/morgandaniel/Documents/mlp/mlp-coursework3/data/captures/capture-ae72381b5be6424b835867c11ab69e50.png,verified,2231844510,2026-01-02T22:21:43.134806Z,False,True,1.0,"Anderson, Gary",T5,5,20,15,False,True,,,
1848,1,sr:sport_event:66098028,3153.873559,/Users/morgandaniel/Documents/mlp/mlp-coursework3/data/captures/capture-eb5db1f4996347f39887a03d8f49fb56.png,verified,2231844390,2026-01-02T22:21:28.873559Z,False,True,1.0,"Anderson, Gary",S20,20,20,20,False,True,,,
