task,model,sport_event_id,train_rows,test_rows,naive_regression_mae,naive_regression_rmse,naive_regression_r2,regression_mae,regression_rmse,regression_r2,accuracy,macro_f1,three_wedge_accuracy,circular_wedge_mae,balanced_accuracy,average_precision,brier_score,log_loss,positive_rate,roc_auc
score_regression,ridge,sr:sport_event:66098024,1179,546,19.605924186076855,20.38466513596496,-0.0026333226203179017,18.88592605988961,20.41034324403418,-0.005160903259898708,,,,,,,,,,
exact_segment,logistic,sr:sport_event:66098024,1179,546,,,,,,,0.05311355311355311,0.034980236332239935,,,,,,,,
score_regression,ridge,sr:sport_event:66098028,1142,583,19.264403276728558,20.27426849397443,-0.004059987825876243,19.162974889686847,20.100583920497407,0.013069385225393138,,,,,,,,,,
exact_segment,logistic,sr:sport_event:66098028,1142,583,,,,,,,0.030874785591766724,0.029719684950696015,,,,,,,,
score_regression,ridge,sr:sport_event:66098032,1129,596,19.796027249867734,20.66518216714457,-0.00017866294550228368,19.507937593798086,20.467314153342368,0.01888295546389185,,,,,,,,,,
exact_segment,logistic,sr:sport_event:66098032,1129,596,,,,,,,0.05704697986577181,0.04742863456296363,,,,,,,,
wedge_number,majority,sr:sport_event:66098024,1179,546,,,,,,,0.6428571428571429,0.037267080745341616,0.706959706959707,2.013059701492537,,,,,,
wedge_number,majority,sr:sport_event:66098028,1142,583,,,,,,,0.6620926243567753,0.041931454022052034,0.6981132075471698,2.0333919156414764,,,,,,
wedge_number,majority,sr:sport_event:66098032,1129,596,,,,,,,0.62248322147651,0.04038534806509552,0.6862416107382551,2.233160621761658,,,,,,
wedge_number,logistic,sr:sport_event:66098024,1179,546,,,,,,,0.08424908424908426,0.0472472522847084,0.29853479853479853,3.5996275605214154,,,,,,
wedge_number,logistic,sr:sport_event:66098028,1142,583,,,,,,,0.10120068610634649,0.04169883198353815,0.451114922813036,3.1607773851590104,,,,,,
wedge_number,logistic,sr:sport_event:66098032,1129,596,,,,,,,0.15771812080536912,0.07589090704945488,0.2986577181208054,4.489090909090909,,,,,,
wedge_number,knn,sr:sport_event:66098024,1179,546,,,,,,,0.6428571428571429,0.037267080745341616,0.706959706959707,2.013059701492537,,,,,,
wedge_number,knn,sr:sport_event:66098028,1142,583,,,,,,,0.6620926243567753,0.041931454022052034,0.6981132075471698,2.0333919156414764,,,,,,
wedge_number,knn,sr:sport_event:66098032,1129,596,,,,,,,0.62248322147651,0.04038534806509552,0.6862416107382551,2.233160621761658,,,,,,
wedge_number,extra_trees,sr:sport_event:66098024,1179,546,,,,,,,0.6776556776556777,0.11072074873942486,0.7527472527472527,1.4616822429906542,,,,,,
wedge_number,extra_trees,sr:sport_event:66098028,1142,583,,,,,,,0.6569468267581475,0.0943118163241226,0.7118353344768439,1.852112676056338,,,,,,
wedge_number,extra_trees,sr:sport_event:66098032,1129,596,,,,,,,0.6711409395973155,0.1390160226910517,0.7432885906040269,1.2017391304347826,,,,,,
wedge_number,random_forest,sr:sport_event:66098024,1179,546,,,,,,,0.6538461538461539,0.07894649797403457,0.7234432234432234,1.697196261682243,,,,,,
wedge_number,random_forest,sr:sport_event:66098028,1142,583,,,,,,,0.6895368782161235,0.1000552707827187,0.7427101200686106,1.5537918871252205,,,,,,
wedge_number,random_forest,sr:sport_event:66098032,1129,596,,,,,,,0.6879194630872483,0.11257437398171646,0.761744966442953,1.198952879581152,,,,,,
wedge_number,svc_rbf,sr:sport_event:66098024,1179,546,,,,,,,0.38461538461538464,0.07996120900310859,0.6373626373626373,2.030360531309298,,,,,,
wedge_number,svc_rbf,sr:sport_event:66098028,1142,583,,,,,,,0.274442538593482,0.07021414543551509,0.5831903945111492,2.8433098591549295,,,,,,
