task,model,mae,rmse,r2,accuracy,macro_f1,three_wedge_accuracy,circular_wedge_mae,num_rows,labels,balanced_accuracy,average_precision,brier_score,log_loss,positive_rate,roc_auc,ece_10bin
score_regression,naive_mean_score,19.556182003972104,20.44495368786897,-0.0012328111818913357,,,,,,,,,,,,,
score_regression,ridge,19.194470026255544,20.32598498955624,0.010385586329248131,,,,,,,,,,,,,
exact_segment,logistic,,,,0.04695652173913043,0.04008434682145537,,,,,,,,,,,
wedge_number,majority,,,,0.6423188405797101,0.03724807960600407,0.6968115942028985,2.0956057007125892,1725.0,"['20', '1', '18', '4', '13', '6', '10', '15', '2', '17', '3', '19', '7', '16', '8', '11', '14', '9', '12', '5', 'BULL']",,,,,,,
wedge_number,logistic,,,,0.11536231884057971,0.06556665175665136,0.3501449275362319,3.7453115547489415,1725.0,"['20', '1', '18', '4', '13', '6', '10', '15', '2', '17', '3', '19', '7', '16', '8', '11', '14', '9', '12', '5', 'BULL']",,,,,,,
wedge_number,knn,,,,0.6423188405797101,0.03724807960600407,0.6968115942028985,2.0956057007125892,1725.0,"['20', '1', '18', '4', '13', '6', '10', '15', '2', '17', '3', '19', '7', '16', '8', '11', '14', '9', '12', '5', 'BULL']",,,,,,,
wedge_number,extra_trees,,,,0.6684057971014493,0.12058491684421842,0.7356521739130435,1.5047675804529201,1725.0,"['20', '1', '18', '4', '13', '6', '10', '15', '2', '17', '3', '19', '7', '16', '8', '11', '14', '9', '12', '5', 'BULL']",,,,,,,
wedge_number,random_forest,,,,0.6776811594202898,0.10393246808545598,0.7431884057971014,1.4782089552238806,1725.0,"['20', '1', '18', '4', '13', '6', '10', '15', '2', '17', '3', '19', '7', '16', '8', '11', '14', '9', '12', '5', 'BULL']",,,,,,,
wedge_number,svc_rbf,,,,0.3234782608695652,0.10510459524329242,0.5478260869565217,2.521276595744681,1725.0,"['20', '1', '18', '4', '13', '6', '10', '15', '2', '17', '3', '19', '7', '16', '8', '11', '14', '9', '12', '5', 'BULL']",,,,,,,
wedge_number,mlp_deep,,,,0.6057971014492753,0.15145690906224737,0.6857971014492754,1.7874251497005988,1725.0,"['20', '1', '18', '4', '13', '6', '10', '15', '2', '17', '3', '19', '7', '16', '8', '11', '14', '9', '12', '5', 'BULL']",,,,,,,
wedge_number,torch_deep,,,,0.10898550724637682,0.05513495425054048,0.3936231884057971,2.9044471153846154,1725.0,"['20', '1', '18', '4', '13', '6', '10', '15', '2', '17', '3', '19', '7', '16', '8', '11', '14', '9', '12', '5', 'BULL']",,,,,,,
coarse_wedge_area,majority,,,,0.6968115942028985,0.1173312509151252,,,1725.0,"['20', '18', '17', '19', '16', 'BULL', 'OTHER']",,,,,,,
coarse_wedge_area,knn,,,,0.6968115942028985,0.1173312509151252,,,1725.0,"['20', '18', '17', '19', '16', 'BULL', 'OTHER']",,,,,,,
coarse_wedge_area,extra_trees,,,,0.7385507246376811,0.3543508356722597,,,1725.0,"['20', '18', '17', '19', '16', 'BULL', 'OTHER']",,,,,,,
wedge_19_vs_20_reranker,majority,,,,0.8305847076461769,0.4537264537264537,,,1334.0,,0.5,0.8175599911443244,0.14131438587249415,0.4571166509655015,0.8308357463705422,0.4591666400434491,0.0002510387243653822
wedge_19_vs_20_reranker,logistic,,,,0.7421289355322339,0.6551355121083136,,,1334.0,,0.7285310373470496,0.9316069025396588,0.1861505179868608,0.6313701581441193,0.6528549534936503,0.8035006868790134,0.21863986907628796
wedge_19_vs_20_reranker,extra_trees,,,,0.8958020989505248,0.7968590976068011,,,1334.0,,0.7717285390243123,0.9307608622211893,0.10778384041723914,0.36961058128669044,0.7308178812110924,0.8028098143829271,0.11649233354825823
wedge_19_vs_20_reranker,random_forest,,,,0.8958020989505248,0.7719986179200681,,,1334.0,,0.7259392671160666,0.9392534627440701,0.0917685061776941,0.3247336823314516,0.8030111331099983,0.8259560397431391,0.05809658367544432
wedge_19_vs_20_reranker,svc_rbf,,,,0.828335832083958,0.7186190609091001,,,1334.0,,0.7381593239832593,0.9139671045855879,0.12709921102765337,0.6230006419817947,0.7818582562140916,0.7712333471774064,0.1293833650801493
wedge_19_vs_20_reranker,mlp_deep,,,,0.868815592203898,0.7431982461138729,,,1334.0,,0.7220216606498195,0.9189198863880883,0.10855936540024533,0.43762469863951237,0.8084157778447586,0.7658421456183507,0.09270340043339509
wedge_19_vs_20_reranker,torch_deep,,,,0.8223388305847077,0.7229491173416407,,,1334.0,,0.7574438516341331,0.935568656562545,0.1458966554122914,0.6312590999391232,0.7571314929830579,0.8090176831411137,0.14921863196429164
