task,model,metric,estimate,ci_low,ci_high
wedge_19_vs_20_reranker,majority,accuracy,0.8305847076461769,0.8305847076461769,0.8305847076461769
wedge_19_vs_20_reranker,majority,balanced_accuracy,0.5,0.5,0.5
wedge_19_vs_20_reranker,majority,macro_f1,0.4537264537264537,0.4537264537264537,0.4537264537264537
wedge_19_vs_20_reranker,majority,roc_auc,0.4591666400434491,0.4199137008402288,0.498866000686879
wedge_19_vs_20_reranker,majority,average_precision,0.8175599911443244,0.8057157671440947,0.83004296150712
wedge_19_vs_20_reranker,majority,brier_score,0.14131438587249415,0.14088662028847032,0.1417690644878476
wedge_19_vs_20_reranker,majority,log_loss,0.4571166509655015,0.45547728341993826,0.4587010823625037
wedge_19_vs_20_reranker,majority,ece_10bin,0.0002510387243653822,1.2404562298659605e-05,0.0008479675713151778
wedge_19_vs_20_reranker,logistic,accuracy,0.7421289355322339,0.7166416791604198,0.7646176911544228
wedge_19_vs_20_reranker,logistic,balanced_accuracy,0.7285310373470496,0.6957964601769911,0.7613625563081052
wedge_19_vs_20_reranker,logistic,macro_f1,0.6551355121083136,0.6286525289056935,0.6805924209388349
wedge_19_vs_20_reranker,logistic,roc_auc,0.8035006868790134,0.7644793696687007,0.8407534403852912
wedge_19_vs_20_reranker,logistic,average_precision,0.9316069025396588,0.9134469816195879,0.9491083829648601
wedge_19_vs_20_reranker,logistic,brier_score,0.1861505179868608,0.1710084283288875,0.20106262760928428
wedge_19_vs_20_reranker,logistic,log_loss,0.6313701581441193,0.5648727818073237,0.7044855610226146
wedge_19_vs_20_reranker,logistic,ece_10bin,0.21863985570051148,0.20027905897332163,0.23700950093639933
wedge_19_vs_20_reranker,extra_trees,accuracy,0.8958020989505248,0.881559220389805,0.9100449775112444
wedge_19_vs_20_reranker,extra_trees,balanced_accuracy,0.7717285390243123,0.740743806108431,0.8058619333248138
wedge_19_vs_20_reranker,extra_trees,macro_f1,0.7968590976068011,0.7667057755739047,0.8263925039042166
wedge_19_vs_20_reranker,extra_trees,roc_auc,0.8028098143829271,0.765047143062522,0.8393412950065494
