id,competition_id,competition_name,season_id,start_time,round_name,stage,home_id,away_id,home_score,away_score,winner_id,best_of_sets,best_of_legs
sr:sport_event:64658208,sr:competition:592,European Championship,sr:season:126761,2025-10-23T17:10:00+00:00,round_of_32,playoffs,sr:competitor:260881,sr:competitor:141718,6.0,3.0,sr:competitor:260881,1.0,11.0
sr:sport_event:64658448,sr:competition:592,European Championship,sr:season:126761,2025-10-23T17:40:00+00:00,round_of_32,playoffs,sr:competitor:68642,sr:competitor:35951,6.0,2.0,sr:competitor:68642,1.0,11.0
sr:sport_event:64658288,sr:competition:592,European Championship,sr:season:126761,2025-10-23T18:10:00+00:00,round_of_32,playoffs,sr:competitor:590369,sr:competitor:172078,6.0,3.0,sr:competitor:590369,1.0,11.0
sr:sport_event:64658370,sr:competition:592,European Championship,sr:season:126761,2025-10-23T18:40:00+00:00,round_of_32,playoffs,sr:competitor:143420,sr:competitor:85671,3.0,6.0,sr:competitor:85671,1.0,11.0
sr:sport_event:64658286,sr:competition:592,European Championship,sr:season:126761,2025-10-23T19:10:00+00:00,round_of_32,playoffs,sr:competitor:191308,sr:competitor:316831,3.0,6.0,sr:competitor:316831,1.0,11.0
sr:sport_event:64658206,sr:competition:592,European Championship,sr:season:126761,2025-10-23T19:30:00+00:00,round_of_32,playoffs,sr:competitor:163422,sr:competitor:46125,6.0,5.0,sr:competitor:163422,1.0,11.0
sr:sport_event:64658368,sr:competition:592,European Championship,sr:season:126761,2025-10-23T20:10:00+00:00,round_of_32,playoffs,sr:competitor:590089,sr:competitor:26280,5.0,6.0,sr:competitor:26280,1.0,11.0
sr:sport_event:64658366,sr:competition:592,European Championship,sr:season:126761,2025-10-23T20:40:00+00:00,round_of_32,playoffs,sr:competitor:70916,sr:competitor:143410,3.0,6.0,sr:competitor:143410,1.0,11.0
sr:sport_event:64658042,sr:competition:592,European Championship,sr:season:126761,2025-10-24T17:10:00+00:00,round_of_32,playoffs,sr:competitor:628490,sr:competitor:186078,3.0,6.0,sr:competitor:186078,1.0,11.0
sr:sport_event:64658128,sr:competition:592,European Championship,sr:season:126761,2025-10-24T17:35:00+00:00,round_of_32,playoffs,sr:competitor:26272,sr:competitor:320691,3.0,6.0,sr:competitor:320691,1.0,11.0
sr:sport_event:64658124,sr:competition:592,European Championship,sr:season:126761,2025-10-24T18:00:00+00:00,round_of_32,playoffs,sr:competitor:26110,sr:competitor:173482,6.0,1.0,sr:competitor:26110,1.0,11.0
sr:sport_event:64658120,sr:competition:592,European Championship,sr:season:126761,2025-10-24T18:30:00+00:00,round_of_32,playoffs,sr:competitor:868039,sr:competitor:502996,4.0,6.0,sr:competitor:502996,1.0,11.0
sr:sport_event:64658126,sr:competition:592,European Championship,sr:season:126761,2025-10-24T19:00:00+00:00,round_of_32,playoffs,sr:competitor:396490,sr:competitor:224944,6.0,0.0,sr:competitor:396490,1.0,11.0
sr:sport_event:64658122,sr:competition:592,European Championship,sr:season:126761,2025-10-24T19:20:00+00:00,round_of_32,playoffs,sr:competitor:862105,sr:competitor:26108,6.0,1.0,sr:competitor:862105,1.0,11.0
sr:sport_event:64657962,sr:competition:592,European Championship,sr:season:126761,2025-10-24T19:45:00+00:00,round_of_32,playoffs,sr:competitor:191294,sr:competitor:245555,6.0,1.0,sr:competitor:191294,1.0,11.0
sr:sport_event:64657964,sr:competition:592,European Championship,sr:season:126761,2025-10-24T20:15:00+00:00,round_of_32,playoffs,sr:competitor:136796,sr:competitor:260885,3.0,6.0,sr:competitor:260885,1.0,11.0
sr:sport_event:64656160,sr:competition:592,European Championship,sr:season:126761,2025-10-25T11:00:00+00:00,round_of_16,playoffs,sr:competitor:316831,sr:competitor:590369,2.0,10.0,sr:competitor:590369,1.0,19.0
sr:sport_event:64656164,sr:competition:592,European Championship,sr:season:126761,2025-10-25T11:40:00+00:00,round_of_16,playoffs,sr:competitor:85671,sr:competitor:68642,10.0,6.0,sr:competitor:85671,1.0,19.0
sr:sport_event:64656158,sr:competition:592,European Championship,sr:season:126761,2025-10-25T12:45:00+00:00,round_of_16,playoffs,sr:competitor:163422,sr:competitor:260881,7.0,10.0,sr:competitor:260881,1.0,19.0
sr:sport_event:64656162,sr:competition:592,European Championship,sr:season:126761,2025-10-25T13:45:00+00:00,round_of_16,playoffs,sr:competitor:143410,sr:competitor:26280,5.0,10.0,sr:competitor:26280,1.0,19.0
sr:sport_event:64656168,sr:competition:592,European Championship,sr:season:126761,2025-10-25T17:10:00+00:00,round_of_16,playoffs,sr:competitor:502996,sr:competitor:186078,10.0,6.0,sr:competitor:502996,1.0,19.0
sr:sport_event:64656166,sr:competition:592,European Championship,sr:season:126761,2025-10-25T18:05:00+00:00,round_of_16,playoffs,sr:competitor:191294,sr:competitor:260885,7.0,10.0,sr:competitor:260885,1.0,19.0
sr:sport_event:64656170,sr:competition:592,European Championship,sr:season:126761,2025-10-25T19:05:00+00:00,round_of_16,playoffs,sr:competitor:862105,sr:competitor:26110,7.0,10.0,sr:competitor:26110,1.0,19.0
sr:sport_event:64656172,sr:competition:592,European Championship,sr:season:126761,2025-10-25T20:00:00+00:00,round_of_16,playoffs,sr:competitor:396490,sr:competitor:320691,10.0,9.0,sr:competitor:396490,1.0,19.0
